"","GENEID","TXCHROM","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"1","Q0055","chrM",179.051328399297,1.47300254573289,1.28224644008004,0,0.973091026449189,1,179.051328399297,1.47300254573289,1.28224644008004,1.14876711659339,0.250694221886508,0.467649873175133
"2","Q0075","chrM",0.64081426248982,-9.54188148933383,4.42997774206119,-1.92819964042516,0.0269368657551711,1,0.64081426248982,-9.54188148933383,4.42997774206119,-2.15393440891064,0.0312819025500462,0.116442194469248
"3","Q0085","chrM",8.05225941177056,0.683401862486866,1.53476619805674,0,0.863625315786055,1,8.05225941177056,0.683401862486866,1.53476619805674,0.445280762211315,0.656131671915248,0.802414638136511
"4","Q0120","chrM",1.95066663610692,2.06213429223331,1.53669096473539,0,0.976830946352106,1,1.95066663610692,2.06213429223331,1.53669096473539,1.34193168278854,0.179664941811761,0.376890838113063
"5","Q0130","chrM",24.4109138752295,0.777057841671455,1.37171050759708,0,0.902403999993496,1,24.4109138752295,0.777057841671455,1.37171050759708,0.566488218445363,0.571081465132337,0.74864945269428
"6","Q0275","chrM",55.2332541457692,1.11958374698774,1.34465001527947,0,0.942498389662432,1,55.2332541457692,1.11958374698774,1.34465001527947,0.832620930551247,0.405089089364722,0.618947293735223
"7","YAL003W","chrI",2389.65621790315,-0.448662525155698,0.381877642796229,0,0.9255718879887,1,2389.65621790315,-0.448662525155698,0.381877642796229,-1.17488555200679,0.240083471295122,0.454198750411917
"8","YAL005C","chrI",8554.86358272845,-1.01349033807206,0.556218983016172,-0.0242536455676193,0.490325515480004,1,8554.86358272845,-1.01349033807206,0.556218983016172,-1.82210670440672,0.0684846489354161,0.201318164393125
"9","YAL008W","chrI",873.84374766859,-0.380089664607656,0.231440664254739,0,0.996292909523256,1,873.84374766859,-0.380089664607656,0.231440664254739,-1.64227693448591,0.10058091621564,0.26061423681356
"10","YAL012W","chrI",847.003843737191,0.286201501223767,0.61156853268231,0,0.982253184842002,1,847.003843737191,0.286201501223767,0.61156853268231,0.467979442906424,0.639814954429433,0.789803524018122
"11","YAL016C-A","chrI",1.83273155436453,-2.5768706158805,1.62545090133606,-0.970112732771179,0.166013169161961,1,1.83273155436453,-2.5768706158805,1.62545090133606,-1.58532663998796,0.112940702195629,0.280596971220284
"12","YAL018C","chrI",2.72426062640698,-1.9766415444603,1.44791187593178,-0.674517255293451,0.250003233680765,1,2.72426062640698,-1.9766415444603,1.44791187593178,-1.36516702246693,0.172247727078488,0.367058065770153
"13","YAL028W","chrI",205.742830589263,-0.410321678370266,0.386381597367509,0,0.936490117458584,1,205.742830589263,-0.410321678370266,0.386381597367509,-1.06195968225678,0.288293376091983,0.509984807142531
"14","YAL031W-A","chrI",8.19038320372553,-0.982667162635688,0.800443330072197,0,0.508637707994217,1,8.19038320372553,-0.982667162635688,0.800443330072197,-1.2276536335771,0.219621400042417,0.429542571828875
"15","YAL033W","chrI",146.266937242796,-0.236032363700297,0.323702535325528,0,0.990850123117617,1,146.266937242796,-0.236032363700297,0.323702535325528,-0.729164396142073,0.465927334930838,0.670007626085704
"16","YAL034C","chrI",1796.70106980057,0.126763559322873,0.286719830135261,0,0.999957058958353,1,1796.70106980057,0.126763559322873,0.286719830135261,0.442116470503876,0.658419610649742,0.803622908793032
"17","YAL034C-B","chrI",11.5048241908877,-0.475690742056476,0.690554408120721,0,0.776137268131937,1,11.5048241908877,-0.475690742056476,0.690554408120721,-0.68885338571804,0.490940080796682,0.690712694466338
"18","YAL037C-A","chrI",3.53735661329941,-2.39404555973227,1.08086917891736,-1.28974494501601,0.0985925189097412,1,3.53735661329941,-2.39404555973227,1.08086917891736,-2.21492628935006,0.0267996108606673,0.103871595197897
"19","YAL037C-B","chrI",12.9003598559935,0.531146955675156,1.16272500582946,0,0.906034179106252,1,12.9003598559935,0.531146955675156,1.16272500582946,0.456812189479186,0.647821282606352,0.795398444701582
"20","YAL038W","chrI",1503.41122749712,-0.808100052633814,0.754122517207761,0,0.600428918613792,1,1503.41122749712,-0.808100052633814,0.754122517207761,-1.07157661281076,0.283949960138938,0.506018637526352
"21","YAL040C","chrI",1059.1225917004,-0.735304842880516,0.478130550368633,0,0.71006567431051,1,1059.1225917004,-0.735304842880516,0.478130550368633,-1.53787462924845,0.124127864086582,0.297195374044637
"22","YAL045C","chrI",1.10095229848053,-1.57298283551949,1.63091449842538,-0.351326103282972,0.362677540884429,1,1.10095229848053,-1.57298283551949,1.63091449842538,-0.964479031266312,0.334841635868728,0.551850438000661
"23","YAL053W","chrI",1775.9889149887,-0.288359872628826,0.284447849307738,0,0.993810164291937,1,1775.9889149887,-0.288359872628826,0.284447849307738,-1.01375304236122,0.310738276456402,0.532130447348377
"24","YAL055W","chrI",176.574337752961,0.0586482804686314,0.314333033179503,0,0.999619114940333,1,176.574337752961,0.0586482804686314,0.314333033179503,0.186580073609826,0.851995704211466,0.927032776049656
"25","YAL056C-A","chrI",2.93038936175859,-0.879728482097092,1.03933548752811,0,0.546060841489638,1,2.93038936175859,-0.879728482097092,1.03933548752811,-0.846433603637824,0.397342006630692,0.612255305331739
"26","YAL059W","chrI",57.2412778057495,-0.324669385925422,0.309686039846514,0,0.985379149740136,1,57.2412778057495,-0.324669385925422,0.309686039846514,-1.04838237489276,0.294501384245468,0.51588877443677
"27","YAL062W","chrI",9081.10585387735,-1.25503710503554,0.938581513174986,-0.271726111643531,0.392920618672041,1,9081.10585387735,-1.25503710503554,0.938581513174986,-1.33716367456468,0.181215928802177,0.379064527908816
"28","YAL063C-A","chrI",4.1190591761755,0.249247450684006,0.837398938178639,0,0.93210244491901,1,4.1190591761755,0.249247450684006,0.837398938178639,0.297644813386227,0.765983763913408,0.875450476707836
"29","YAL064C-A","chrI",2.60029231595677,1.26302715506421,1.17140415931065,0,0.973291956424116,1,2.60029231595677,1.26302715506421,1.17140415931065,1.07821638247169,0.280977145772298,0.502580068341958
"30","YAL064W","chrI",0.452390703232781,-0.911080000347958,3.54507134907249,0,0.510005120382458,1,0.452390703232781,-0.911080000347958,3.54507134907249,-0.256999058872631,0.797187620222492,0.895062453362777
"31","YAL064W-B","chrI",5.12760863982404,-0.986017266427556,0.779467392089932,0,0.507155899382226,1,5.12760863982404,-0.986017266427556,0.779467392089932,-1.2649884734547,0.205920731787355,0.41057145887495
"32","YAL065C","chrI",24.562122691989,-0.058944778958578,0.412207192923054,0,0.988767787564534,1,24.562122691989,-0.058944778958578,0.412207192923054,-0.142997938829227,0.886296233950204,0.945876951914014
"33","YAL066W","chrI",4.48669075778854,0.886732444952285,0.786913926071086,0,0.991735355914445,1,4.48669075778854,0.886732444952285,0.786913926071086,1.12684807775556,0.25984824658397,0.478659672342701
"34","YAL067C","chrI",198.348855688468,0.0408639938865418,0.387053223375093,0,0.996409713930161,1,198.348855688468,0.0408639938865418,0.387053223375093,0.105577195637874,0.915921071132618,0.959228300696463
"35","YAL067W-A","chrI",5.42532055327874,-0.740961039109311,1.23382912989663,0,0.583142270897665,1,5.42532055327874,-0.740961039109311,1.23382912989663,-0.600537806374685,0.548168774964749,0.733371472292333
"36","YAL068C","chrI",10.4205594983256,0.571617784871471,0.761609006254757,0,0.980449997548862,1,10.4205594983256,0.571617784871471,0.761609006254757,0.750539686606944,0.452956852544651,0.657010619997896
"37","YAR019W-A","chrI",0.632567231262794,-0.439539597739443,2.32973445212152,0,0.595051376387957,1,0.632567231262794,-0.439539597739443,2.32973445212152,-0.188665106162287,0.850361181617898,0.926821725099055
"38","YAR029W","chrI",63.5310214768949,0.14985599513847,0.350748264480934,0,0.99947507764409,1,63.5310214768949,0.14985599513847,0.350748264480934,0.427246576288094,0.669213868072064,0.812626229114417
"39","YAR030C","chrI",124.616325348971,0.101444334595589,0.265028230073619,0,0.999983595585741,1,124.616325348971,0.101444334595589,0.265028230073619,0.382768034059655,0.701904259477673,0.833494454877252
"40","YAR031W","chrI",27.2865132016697,-0.090877794107926,0.453321148725876,0,0.97752296354721,1,27.2865132016697,-0.090877794107926,0.453321148725876,-0.200471110521429,0.841118411085106,0.920689595855121
"41","YAR033W","chrI",87.7054567238584,-0.402790456101466,0.189092680655436,0,0.999202884737373,1,87.7054567238584,-0.402790456101466,0.189092680655436,-2.13012187835778,0.0331989387316786,0.121703153459694
