"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YBR230C","chrII",15537.192051545,-0.427462529155798,0.167745680288025,-2.54827741866037,0.0108256344659696,0.0888220584194347
"2","YBR286W","chrII",16895.7644577033,-0.537258996581679,0.192675603360588,-2.78841216641326,0.00529671081155684,0.0551623228625634
"3","YDL123W","chrIV",423.454263174316,-0.695747751589352,0.223385982151231,-3.11455421190365,0.00184223099889124,0.0270148070798515
"4","YDL192W","chrIV",3010.68033382251,0.45505091652403,0.179632184948636,2.53323710700366,0.0113014478138876,0.0914465747776606
"5","YDR309C","chrIV",1153.98651493791,0.594513570501013,0.200124632169289,2.9707166182227,0.00297105793439921,0.0377620774121551
"6","YGL073W","chrVII",1019.48152409654,-0.512787128823771,0.188346098330233,-2.72257898289289,0.00647745477792927,0.0624709459040432
"7","YGL147C","chrVII",2452.76556353283,0.444510976390134,0.178227845823347,2.49406019770176,0.0126291124246513,0.0994019286118902
"8","YGR086C","chrVII",20762.2746160476,-0.570219438110922,0.142120736273309,-4.01221843527707,6.01508021400437e-05,0.00184081616828581
"9","YHL020C","chrVIII",1774.26611178489,-0.634664804941952,0.219534657965934,-2.89095494452832,0.00384073178959756,0.0447649547732243
"10","YLL050C","chrXII",6648.37808124399,0.573222551754003,0.204426893599032,2.80404667733364,0.00504655984700275,0.0540999116279473
"11","YLR029C","chrXII",8440.75653388312,0.569561318344805,0.219423382959139,2.5957184264672,0.00943933846449531,0.08092127716511
"12","YLR064W","chrXII",890.418117129932,0.679348145150621,0.175623181653296,3.8682145418123,0.000109635184378383,0.00298796786081982
"13","YLR293C","chrXII",2060.33065554649,0.661172423721876,0.171769521583862,3.84918358987845,0.00011851216056464,0.00318240007633872
"14","YLR347C","chrXII",722.674633962107,0.551312119288348,0.21137593841188,2.60820660776479,0.00910179993954046,0.0788918671974725
"15","YLR372W","chrXII",1797.48077203242,1.37814550261723,0.156857183244425,8.78598910239072,1.54994628814753e-18,1.2129436809246e-15
"16","YML008C","chrXIII",3873.38455065571,0.479978405041975,0.164665702251334,2.91486568532268,0.00355841651203271,0.0422961358602363
"17","YML128C","chrXIII",13161.1333086474,-1.06452581669458,0.247440094185948,-4.30215572054626,1.69144365011006e-05,0.000707307504984953
"18","YMR122W-A","chrXIII",3368.30686208432,0.696071127806979,0.203312498826816,3.42365143227077,0.000617858165061732,0.011631020715492
"19","YMR202W","chrXIII",2664.06909916744,0.482113731662025,0.179563785878751,2.6849162780939,0.0072547976611509,0.0678563071520193
"20","YPR008W","chrXVI",1555.79350541359,-0.497073710864094,0.182414119217744,-2.72497388357722,0.00643065735230858,0.0621289964302406
"21","YPR149W","chrXVI",30899.4767119221,-0.78876843364851,0.198224294433727,-3.9791713518356,6.91558858250369e-05,0.0020477618516192
