"","GENEID","TXCHROM.x","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","TXCHROM.y","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"1","YGL040C","chrVII",2155.36620031605,1.54267952683815,0.27976444511881,3.42316382066149,0.000618967619138299,0.0207560474951043,"chrVII",2155.36620031605,1.54267952683815,0.27976444511881,5.51420866287353,3.50352736657371e-08,3.1888037217798e-06
"2","YGL056C","chrVII",3907.37420407633,1.40151159829596,0.280739429445498,2.9084322067217,0.0036324592463353,0.0913563500453328,"chrVII",3907.37420407633,1.40151159829596,0.280739429445498,4.99221502681028,5.96907468113716e-07,3.52876235595489e-05
"3","YGL068W","chrVII",430.022368191553,2.34839724993076,0.293959201451898,5.99878228414398,1.98802687314023e-09,4.99988758594768e-07,"chrVII",430.022368191553,2.34839724993076,0.293959201451898,7.98885436595199,1.36198472214152e-15,4.30226938699997e-13
"4","YGL071W","chrVII",359.819309507548,1.75381826861847,0.360855962070093,3.23901609360533,0.00119942805409329,0.035488959482878,"chrVII",359.819309507548,1.75381826861847,0.360855962070093,4.86016154079173,1.17290006852258e-06,6.11502268734587e-05
"5","YGL107C","chrVII",601.055446062879,1.87395414925372,0.311866841698819,4.13302723121333,3.58016289672061e-05,0.00180082193705047,"chrVII",601.055446062879,1.87395414925372,0.311866841698819,6.0088278030643,1.8686946981455e-09,2.38925964977175e-07
"6","YGL129C","chrVII",1274.39576970588,1.67839575980551,0.261621726724408,4.17930029548841,2.92407365013287e-05,0.00163423227335204,"chrVII",1274.39576970588,1.67839575980551,0.261621726724408,6.41535311619408,1.40496819471171e-10,2.0957442237783e-08
"7","YGL143C","chrVII",486.247808686411,1.57654008758084,0.282586224790922,3.50880545686347,0.000450124023556152,0.017258782205819,"chrVII",486.247808686411,1.57654008758084,0.282586224790922,5.5789700603675,2.41946876453884e-08,2.32009772599529e-06
"8","YGL157W","chrVII",78.1630533997932,2.17283534204431,0.484708830021753,3.27585396365289,0.00105343016462906,0.0331172108005262,"chrVII",78.1630533997932,2.17283534204431,0.484708830021753,4.48276409973138,7.36823674190442e-06,0.000288813367182677
"9","YGL236C","chrVII",315.15889403677,2.513505525661,0.373664146007364,5.16106655205552,2.4554686093644e-07,2.47020142102059e-05,"chrVII",315.15889403677,2.513505525661,0.373664146007364,6.72664357155493,1.73621332376152e-11,3.21498812020668e-09
"10","YGL253W","chrVII",364.059293256093,1.69960140941261,0.359787162244807,3.09794658169101,0.00194866550119127,0.0544543748388448,"chrVII",364.059293256093,1.69960140941261,0.359787162244807,4.72390787600188,2.31355251791557e-06,0.000107101526044884
"11","YGR021W","chrVII",547.140086782017,2.17948474673025,0.295586877737581,5.39430152967013,6.87906153582428e-08,9.98965198114513e-06,"chrVII",547.140086782017,2.17948474673025,0.295586877737581,7.37341509681352,1.6631162074065e-13,3.88301479729256e-11
"12","YGR043C","chrVII",7419.85900022324,-3.36553458014774,0.308633966056234,-9.00916582733193,2.07629729612381e-19,1.04437753995027e-16,"chrVII",7419.85900022324,-3.36553458014774,0.308633966056234,-10.9046150141963,1.09556034507014e-27,1.47078976325666e-24
"13","YGR055W","chrVII",2765.08151246118,1.94139311226034,0.367928970873611,3.68656240643328,0.00022730371985701,0.00952781425733965,"chrVII",2765.08151246118,1.94139311226034,0.367928970873611,5.27654320792052,1.31643484786606e-07,9.95669737047988e-06
"14","YGR082W","chrVII",964.041801795616,1.88046772783992,0.28104101297968,4.60953265897026,4.03575135354076e-06,0.000338330488471834,"chrVII",964.041801795616,1.88046772783992,0.28104101297968,6.69107938340617,2.21530441643746e-11,3.83747894073199e-09
"15","YGR084C","chrVII",645.57502158051,2.10482550716664,0.283106143689072,5.36839465001446,7.9440572414673e-08,9.98965198114513e-06,"chrVII",645.57502158051,2.10482550716664,0.283106143689072,7.43475743669595,1.04760017730206e-13,2.67886331052956e-11
"16","YGR112W","chrVII",504.909406114493,1.46727267362631,0.28824522135614,3.06084059078371,0.00220716570751023,0.0584318079409286,"chrVII",504.909406114493,1.46727267362631,0.28824522135614,5.09036252786105,3.5737958966462e-07,2.36929431666544e-05
"17","YGR165W","chrVII",751.444779735081,1.65755993528643,0.269415242584274,3.98106627152297,6.86068163375352e-05,0.00313720260161638,"chrVII",751.444779735081,1.65755993528643,0.269415242584274,6.15243562089083,7.63019488305769e-10,9.99369427366336e-08
"18","YGR220C","chrVII",481.869325429048,1.7840562607051,0.284744461609934,4.21099063323545,2.54253289580811e-05,0.00163423227335204,"chrVII",481.869325429048,1.7840562607051,0.284744461609934,6.26546430655093,3.71716142848614e-10,5.25293601867647e-08
"19","YGR233C","chrVII",1338.66753854511,1.48821206407201,0.258690781176232,3.49147371995721,0.000480363719446254,0.017258782205819,"chrVII",1338.66753854511,1.48821206407201,0.258690781176232,5.75286083758114,8.77457144042067e-09,9.4238897270118e-07
"20","YGR236C","chrVII",4909.14579365381,-4.46584258657472,0.926530746068441,-4.18857399286786,2.80712787141516e-05,0.00163423227335204,"chrVII",4909.14579365381,-4.46584258657472,0.926530746068441,-4.81996156687156,1.43585880261385e-06,7.34339216193941e-05
