"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YDR184C","chrIV",150.737806411419,0.82716457693124,0.321357241077035,2.57397211327488,0.0100538376290079,0.0865497547507972
"2","YBR104W","chrII",615.928484276941,0.811237699320595,0.313735453915802,2.5857380452077,0.0097170748827749,0.0846035477761407
"3","YLR008C","chrXII",514.653211040824,1.79206282512554,0.289214165127579,6.1963176123653,5.77994353424626e-10,6.21010471650651e-08
"4","YDL182W","chrIV",1536.46663612092,-0.947091542264554,0.378112077592238,-2.50479050628452,0.0122523940584376,0.0999030978011855
"5","YLR180W","chrXII",1695.24300336762,1.8370886387774,0.651522859587342,2.81968408589832,0.00480709494481525,0.0501067900311247
"6","YMR177W","chrXIII",236.961204200347,0.824940617961711,0.305693175968135,2.69859022972663,0.00696338583558078,0.0660516751500676
"7","YDR514C","chrIV",299.973112310429,0.741669899037747,0.276442380953153,2.68290953246938,0.00729847306240709,0.0683661660848209
"8","YDR342C","chrIV",1734.24708266263,0.996483054833677,0.300574947084136,3.31525652586989,0.000915590612794799,0.0134262591960224
"9","YBR117C","chrII",1116.77328494652,-3.75634669380743,0.469013813850725,-8.00903210710756,1.15614725265535e-15,3.58855261143637e-13
"10","YEL011W","chrV",6777.38125456339,-0.695116102068987,0.272873239813943,-2.54739564254431,0.0108530308632614,0.0912919181054497
"11","YFR053C","chrVI",6873.24091811036,1.21928099471931,0.381901786747034,3.1926559053439,0.00140970821681899,0.0195435230952052
"12","YGR192C","chrVII",38680.0324697973,-1.49954920941456,0.52722347120736,-2.84423833783527,0.0044517733971606,0.046896660917808
"13","YGR248W","chrVII",1411.07093412022,-1.020142966338,0.279899972139513,-3.64466976734647,0.000267735357818543,0.00501000215644288
"14","YGR254W","chrVII",17773.8408532515,-1.49395205018509,0.443178981706271,-3.37099030381194,0.000748984939233423,0.0114960957568603
"15","YGR256W","chrVII",428.87480156842,-2.93369422345997,0.642594168702882,-4.56539191661485,4.98562020163441e-06,0.000178555513246996
"16","YOR178C","chrXV",2704.083201928,-1.02671387840035,0.278825376285988,-3.68228276807654,0.000231154813349285,0.00446872644353791
"17","YPR026W","chrXVI",2401.82166808203,-1.21691053809856,0.352953262645255,-3.44779512442601,0.000565182570427059,0.00917928785167436
"18","YEL039C","chrV",5188.86317775163,2.02041488457718,0.560919471526114,3.60196960016412,0.000315815302978269,0.0056918067669019
"19","YML054C","chrXIII",21995.333422531,-1.24069994826727,0.353186158378115,-3.51287817723308,0.00044328067071136,0.00741499732713882
"20","YMR081C","chrXIII",5010.18461703569,-1.02144342262233,0.399381208229977,-2.55756505707737,0.0105407839188,0.0896295470182668
"21","YMR303C","chrXIII",36300.2502674757,-4.71338547084855,0.637812256659605,-7.38992614462103,1.46910391926054e-13,3.41995149871193e-11
