"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","YAL025C","chrI",294.024084337515,-1.42292988634178,0.475895044025231,-2.99000778471301,0.00278970337262747,0.0285118016917241
"2","YDR184C","chrIV",154.429378031752,-1.75894868800225,0.527521094999152,-3.33436653941787,0.000854939164597248,0.0116921173292987
"3","YHR066W","chrVIII",116.704197166487,-1.02429161624479,0.419149710748692,-2.44373690349251,0.014536022607552,0.0920003540952745
"4","YHR170W","chrVIII",506.203965464775,-0.617528859870974,0.236783602710471,-2.60798827622393,0.00910760736448977,0.0659345000200996
"5","YJL122W","chrX",154.519072461382,-1.53987389543277,0.252973158720432,-6.08710387782497,1.1497138065304e-09,1.62699243544649e-07
"6","YJL191W","chrX",279.088062072442,-1.31343492078522,0.299848466943797,-4.38032895139468,1.18500281544575e-05,0.000413925983445893
"7","YJR003C","chrX",209.863002545589,0.77184856363448,0.262383621052911,2.94167966939839,0.00326437412200037,0.0318252232100984
"8","YJR063W","chrX",82.607348000747,-1.12246070709002,0.411356166412135,-2.72868331324694,0.00635877371591329,0.0509190612712311
"9","YJR070C","chrX",255.028429589988,-0.588907796157889,0.240542702507014,-2.44824636133253,0.0143553462142411,0.0910305937885895
"10","YKL172W","chrXI",635.111872595806,-0.474267073433887,0.192666364883298,-2.46159766247294,0.0138319733926823,0.0887658850630391
"11","YLR009W","chrXII",530.272525525364,-0.783410622987417,0.248350403699128,-3.15445681311034,0.00160797175090496,0.0190788754664427
"12","YNL112W","chrXIV",841.092268961178,-1.36927926477374,0.374316044387717,-3.65808328364208,0.000254108482216778,0.00474507328928741
"13","YNL141W","chrXIV",114.045688943657,-2.44491568311764,0.364807264397431,-6.70193804160128,2.05673248087783e-11,4.20411354146842e-09
"14","YNL182C","chrXIV",104.429704535774,-0.836085653431202,0.336485306858478,-2.48476125521537,0.0129638344630412,0.0847718037932754
"15","YNR012W","chrXIV",186.341855322552,-0.587396433762909,0.239338117589096,-2.4542535876854,0.0141177384237367,0.0900760674689047
"16","YNR053C","chrXIV",261.736673212207,-1.22521756566205,0.276439212874146,-4.43214098652443,9.33019742416842e-06,0.00033877210252622
"17","YOL010W","chrXV",214.217270566794,-0.813109378889097,0.239218345853168,-3.39902600692751,0.000676262855696376,0.00989998594320503
"18","YOR294W","chrXV",362.017563213917,-0.673835631091629,0.20319398705406,-3.31621836286108,0.000912445038053469,0.0122824004024807
