"genesGC_1$GENEID" "genesGC_1$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAL044C7" "YAL044C" "chrI" "YAL044C" 2664.2472367368 -1.20405149568865 0.440716393178403 -2.73203246878372 0.00629449374604566 0.0582853771549423 "9"
"YAL054C7" "YAL054C" "chrI" "YAL054C" 32312.8907940355 -1.8627096157959 0.710488235793408 -2.62173182039502 0.00874842417673682 0.0678002873697103 "9"
"YAL060W7" "YAL060W" "chrI" "YAL060W" 4768.96826237973 -0.812133312851481 0.305634887916275 -2.65720094452684 0.0078792462595709 0.065324448640396 "9"
"YBR026C7" "YBR026C" "chrII" "YBR026C" 8894.69516604377 -1.88066626508024 0.711724854260986 -2.64240633697276 0.00823192301610583 0.0666972853464029 "9"
"YBR067C7" "YBR067C" "chrII" "YBR067C" 11226.9070082939 -3.31532471692157 0.860862580778576 -3.85116601760428 0.000117556769568163 0.00635446468818421 "9"
"YBR068C7" "YBR068C" "chrII" "YBR068C" 5955.31912331761 1.56989792022388 0.639613219507443 2.45444883305076 0.0141100743338052 0.0945902221053833 "9"
"YBR149W7" "YBR149W" "chrII" "YBR149W" 12973.7171275688 -0.847100246094282 0.254318385399328 -3.33086514671038 0.00086576532771977 0.0212858854711792 "9"
"YBR230C7" "YBR230C" "chrII" "YBR230C" 13780.0889904964 -1.06858477766061 0.438280543145222 -2.43812962809653 0.0147634788206986 0.096572113753744 "9"
"YCR004C7" "YCR004C" "chrIII" "YCR004C" 4603.6390304602 -1.03888547100284 0.352588193640942 -2.94645563787876 0.00321438523026206 0.0458371333835369 "9"
"YCR010C7" "YCR010C" "chrIII" "YCR010C" 42422.6426982752 -3.35669929060561 0.910256198046604 -3.68764233389351 0.000226341491552066 0.00849376228824331 "9"
"YDL004W7" "YDL004W" "chrIV" "YDL004W" 10582.2549737485 -0.669435269571431 0.233360704812381 -2.86867178477905 0.00412199292006405 0.0464775272236516 "9"
"YDL046W7" "YDL046W" "chrIV" "YDL046W" 4125.10671538111 -1.03363773857031 0.394841511005799 -2.61785478415699 0.00884844517342443 0.0678380796629206 "9"
"YDL067C7" "YDL067C" "chrIV" "YDL067C" 6373.91043140686 -0.867305304998769 0.312675125369011 -2.77382252257898 0.00554018934088331 0.0541117123294493 "9"
"YDL078C7" "YDL078C" "chrIV" "YDL078C" 9361.21027473878 -0.980677392374878 0.255614036383944 -3.83655532477041 0.000124772097664206 0.00635446468818421 "9"
"YDL085W7" "YDL085W" "chrIV" "YDL085W" 4017.99305299442 -2.28919906333957 0.795610186658202 -2.87728727174156 0.00401110254850974 0.0464775272236516 "9"
"YDL110C7" "YDL110C" "chrIV" "YDL110C" 3983.51775079035 -0.625044084600125 0.246951184919191 -2.53104306749796 0.0113723883969922 0.0810851292705544 "9"
"YDL125C7" "YDL125C" "chrIV" "YDL125C" 2683.51128327985 -1.10070776665998 0.318789208718768 -3.45277611837549 0.000554849295912316 0.0158243019194192 "9"
"YDL130W-A7" "YDL130W-A" "chrIV" "YDL130W-A" 5540.57826068917 -1.06360623936362 0.399088930904032 -2.66508579166627 0.00769686843366831 0.0645631434494765 "9"
"YDL137W7" "YDL137W" "chrIV" "YDL137W" 9699.16796730163 -1.0153366941947 0.360435628135247 -2.81697095108952 0.00484789101580329 0.0485975641319908 "9"
"YDL168W7" "YDL168W" "chrIV" "YDL168W" 6733.41840441717 1.57855993434649 0.478997498064716 3.29554943548622 0.000982294190656457 0.0218867424355642 "9"
"YDL181W7" "YDL181W" "chrIV" "YDL181W" 4564.03409092562 -0.922880653139608 0.273644172562904 -3.37255730497042 0.000744735872375962 0.0192196330801187 "9"
"YDR032C7" "YDR032C" "chrIV" "YDR032C" 4712.17977679884 -1.066291978136 0.257274464615509 -4.14456980691634 3.4045223613406e-05 0.00346774920519407 "9"
"YDR070C7" "YDR070C" "chrIV" "YDR070C" 8984.52565960978 -2.47150406248326 0.818016726646877 -3.0213368284218 0.00251661238585418 0.0446204058960475 "9"
"YDR119W-A7" "YDR119W-A" "chrIV" "YDR119W-A" 7007.17987211572 -1.20179040292911 0.441555184581504 -2.72172187054748 0.00649427743094978 0.059364356516246 "9"
"YDR134C7" "YDR134C" "chrIV" "YDR134C" 9759.64700126815 -1.52499218288345 0.491033468147392 -3.10567869973722 0.00189842872250021 0.0365832345714229 "9"
"YDR178W7" "YDR178W" "chrIV" "YDR178W" 17353.9222609762 -0.642157211239668 0.228278273510173 -2.81304568045565 0.0049074679067368 0.0485975641319908 "9"
"YDR256C7" "YDR256C" "chrIV" "YDR256C" 24400.585569508 -1.78556336629172 0.39903840310216 -4.47466547683278 7.6531036968258e-06 0.00157833271689557 "9"
"YDR380W7" "YDR380W" "chrIV" "YDR380W" 4694.9705402072 -1.30008704886214 0.325967693043918 -3.98839233643617 6.65225812783535e-05 0.00462419755247413 "9"
"YDR524C-B7" "YDR524C-B" "chrIV" "YDR524C-B" 5214.96002328609 -0.827736132376812 0.255891136295246 -3.23471982797315 0.00121762147982094 0.0255342386797744 "9"
"YER015W7" "YER015W" "chrV" "YER015W" 8859.97002456849 -1.62946240940674 0.548757020688506 -2.96936958977274 0.00298411445296525 0.0447428571645754 "9"
"YFL014W7" "YFL014W" "chrVI" "YFL014W" 42373.9193956678 -3.72766139856342 1.43236177056874 -2.60245803480451 0.00925581421356842 0.0687437034820238 "9"
"YFL038C7" "YFL038C" "chrVI" "YFL038C" 6019.68259817567 -0.824548455761228 0.307519375964891 -2.68128944127203 0.00733390516341152 0.0637691997745416 "9"
