"genesGC_1$GENEID" "genesGC_1$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAL054C11" "YAL054C" "chrI" "YAL054C" 30483.5085885739 -1.36117515544375 0.282516200163797 -4.81804284021436 1.44973247903467e-06 7.64118430223275e-05 "61"
"YAL062W11" "YAL062W" "chrI" "YAL062W" 12677.7534214291 -1.0488952875825 0.307253763958754 -3.41377522627617 0.000640694099729614 0.0105904080922762 "61"
"YBL002W11" "YBL002W" "chrII" "YBL002W" 2103.78161571626 -1.06920096555678 0.313792313936149 -3.40735230938237 0.000655963975042933 0.0107474214913926 "61"
"YBL004W11" "YBL004W" "chrII" "YBL004W" 1229.59785784574 0.676927009973581 0.272324575056904 2.48573603697768 0.0129283820241648 0.0956857247743011 "61"
"YBL017C11" "YBL017C" "chrII" "YBL017C" 2012.51443169034 0.702286248834787 0.268230463132475 2.61821957369524 0.00883899087096652 0.0740381439221738 "61"
"YBL022C11" "YBL022C" "chrII" "YBL022C" 1476.15283273295 1.23246595676119 0.333680074715208 3.69355574441503 0.000221140005198183 0.00452853493107599 "61"
"YBL027W11" "YBL027W" "chrII" "YBL027W" 4667.52213366803 -0.836890825315234 0.266946991162687 -3.13504498278912 0.0017182776135608 0.0222738214082695 "61"
"YBL028C11" "YBL028C" "chrII" "YBL028C" 159.326779278236 -1.08255453010799 0.430361459887613 -2.51545417284972 0.0118879131121605 0.0911190382687001 "61"
"YBL030C11" "YBL030C" "chrII" "YBL030C" 12807.4118415724 1.34164668343616 0.347989696257163 3.85542071465441 0.000115530770290036 0.00283584489150914 "61"
"YBL039W-B11" "YBL039W-B" "chrII" "YBL039W-B" 253.115703737118 -1.33182703264673 0.409013256486031 -3.25619527369088 0.00112916063955628 0.0161759499825666 "61"
"YBL042C11" "YBL042C" "chrII" "YBL042C" 760.188668197921 -1.42383332413569 0.366496257196567 -3.88498735301416 0.000102335215415235 0.00258708981232995 "61"
"YBL048W11" "YBL048W" "chrII" "YBL048W" 703.5957604256 -1.08991263657632 0.36049533665385 -3.02337513348435 0.00249972163631446 0.0293952309410685 "61"
"YBL049W11" "YBL049W" "chrII" "YBL049W" 1456.41751170808 -1.01480417138314 0.325936262650599 -3.11350496299642 0.00184879400516415 0.0236366409767783 "61"
"YBL067C11" "YBL067C" "chrII" "YBL067C" 1586.69010350109 -1.21523910547262 0.276991437862488 -4.38728039700607 1.14776783250012e-05 0.000442246819322632 "61"
"YBL072C11" "YBL072C" "chrII" "YBL072C" 1205.50868744068 -1.02024207540505 0.332948917232203 -3.06426007895234 0.00218209120199309 0.0264789094989291 "61"
"YBL076C11" "YBL076C" "chrII" "YBL076C" 2763.35013512023 0.674643948689778 0.273217406765084 2.46925683351444 0.0135394003540095 0.0992711676874687 "61"
"YBL078C11" "YBL078C" "chrII" "YBL078C" 1363.70500116067 -0.816002774209409 0.300713348808592 -2.71355687215869 0.006656514120696 0.0599837812779493 "61"
"YBL090W11" "YBL090W" "chrII" "YBL090W" 646.989505394785 0.892798639445533 0.294552248470431 3.03103657867734 0.00243715720798468 0.0289095484522514 "61"
"YBL093C11" "YBL093C" "chrII" "YBL093C" 426.333944102358 -0.818105569637392 0.314311996209573 -2.60284551497648 0.00924536031234904 0.0766171074648881 "61"
"YBL098W11" "YBL098W" "chrII" "YBL098W" 2000.10742985798 -0.759313926933121 0.257739852257681 -2.94604780860191 0.00321862647900188 0.03525973752585 "61"
"YBR009C11" "YBR009C" "chrII" "YBR009C" 3227.72296563448 -1.24417570050017 0.330458155742078 -3.76500225181685 0.000166547581296575 0.00362062776927613 "61"
"YBR010W11" "YBR010W" "chrII" "YBR010W" 2755.27422378817 -0.861468683078851 0.332477471425256 -2.59105881486024 0.00956811375299172 0.0784978730366589 "61"
"YBR026C11" "YBR026C" "chrII" "YBR026C" 9808.43987035197 -1.515400747567 0.309164299172612 -4.90160329514928 9.50576448824234e-07 5.41925573426632e-05 "61"
"YBR037C11" "YBR037C" "chrII" "YBR037C" 488.09875150999 1.1228216328024 0.298681065355698 3.75926619742446 0.000170412445640541 0.00367603989881737 "61"
