"genesNoAneu$GENEID" "genesNoAneu$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"Q00755" "Q0075" "chrM" "Q0075" 0.64081426248982 -15.5679549353975 4.4145042940196 -3.52654656072885 0.000423916251835479 0.0781740572751897 "7"
"YAL001C5" "YAL001C" "chrI" "YAL001C" 986.603632199468 0.86576271904473 0.230148330604672 3.76175971717934 0.000170203023561292 0.0420878036662362 "7"
"YAL002W5" "YAL002W" "chrI" "YAL002W" 621.668282304953 1.14468684115203 0.248867782149647 4.59957826306224 4.31356648145268e-06 0.00296294088759338 "7"
"YAL011W5" "YAL011W" "chrI" "YAL011W" 192.146848240512 0.876079813262379 0.219043634930905 3.99956754524608 6.41609248067917e-05 0.0208759387976624 "7"
"YAL014C5" "YAL014C" "chrI" "YAL014C" 404.464486683731 0.844326549940243 0.198970183334742 4.24348279621258 2.23131359904571e-05 0.00862123791831288 "7"
"YAL015C5" "YAL015C" "chrI" "YAL015C" 445.419883135262 0.620186694552369 0.169444440945821 3.66011827293096 0.000254094642626286 0.0561004671684179 "7"
"YAL016C-B5" "YAL016C-B" "chrI" "YAL016C-B" 22.7727223847124 1.65250984782062 0.44738922649651 3.69367376313767 0.000222848366455217 0.0529864846702366 "7"
"YAL016W5" "YAL016W" "chrI" "YAL016W" 2700.48595915179 0.561192043717255 0.133152004572153 4.21467213746042 2.53523287910463e-05 0.00921929979919106 "7"
"YAL019W5" "YAL019W" "chrI" "YAL019W" 528.974895568924 1.02808420034309 0.17003358733621 6.04635952489929 1.56359156093375e-09 4.83306151484623e-06 "7"
"YAL021C5" "YAL021C" "chrI" "YAL021C" 1300.52494170333 0.78862967780387 0.199215286346438 3.95868054237782 7.61674231700664e-05 0.0219480008670923 "7"
"YAL023C5" "YAL023C" "chrI" "YAL023C" 1503.82258562525 1.10845358599587 0.272003526524228 4.07514417243095 4.65325927276574e-05 0.0159813604579099 "7"
"YAL024C5" "YAL024C" "chrI" "YAL024C" 224.11926052391 1.06359115884677 0.25026803992281 4.24980816237989 2.16939785324267e-05 0.00862123791831288 "7"
"YAL026C5" "YAL026C" "chrI" "YAL026C" 418.888665908676 0.91207351792163 0.196549530702587 4.64042582376731 3.54498845542016e-06 0.00273938982892593 "7"
"YAL029C5" "YAL029C" "chrI" "YAL029C" 577.93700209943 0.907554701939724 0.2281951515131 3.97709896955292 7.05171444406185e-05 0.0217968493465952 "7"
"YAL031C5" "YAL031C" "chrI" "YAL031C" 357.287225535549 0.745430928585203 0.166470777663845 4.47784853922202 7.66853473377368e-06 0.00364668320955299 "7"
"YAL035W5" "YAL035W" "chrI" "YAL035W" 1543.91489235618 1.02251135673194 0.230577938644122 4.4345584956855 9.37773329099121e-06 0.00414093908606483 "7"
"YAL041W5" "YAL041W" "chrI" "YAL041W" 468.469240936869 0.823171159134513 0.120466194243529 6.83321295491767 9.05678834614444e-12 5.59890655558649e-08 "7"
"YAL043C5" "YAL043C" "chrI" "YAL043C" 573.118860008559 0.998507068243315 0.184762213140174 5.4042818132178 6.73770417561735e-08 0.000136959095623205 "7"
"YAL047C5" "YAL047C" "chrI" "YAL047C" 246.272691505735 0.606291321626485 0.15380359291071 3.94198412502927 8.16570721357364e-05 0.0219480008670923 "7"
"YAL048C5" "YAL048C" "chrI" "YAL048C" 320.512451377327 0.876938572223492 0.192615660622175 4.55278957791314 5.39020278358055e-06 0.00302929396437227 "7"
"YAL051W5" "YAL051W" "chrI" "YAL051W" 631.088648236979 0.949465471178625 0.209427154380028 4.53363115203159 5.90156760321049e-06 0.00304029091025394 "7"
"YAL056W5" "YAL056W" "chrI" "YAL056W" 1583.50775477132 0.648109904445086 0.129455529941437 5.00642888517994 5.69069779933796e-07 0.000586331563258454 "7"
"YAR002W5" "YAR002W" "chrI" "YAR002W" 561.788799832302 0.637868391958538 0.119122512869472 5.35472579106421 8.86179848742836e-08 0.000136959095623205 "7"
"YAR003W5" "YAR003W" "chrI" "YAR003W" 426.367672668115 0.599665962041477 0.126831146486641 4.72806545279192 2.31440077787859e-06 0.00204394651554935 "7"
"YAR014C5" "YAR014C" "chrI" "YAR014C" 858.649523589037 0.603502674397911 0.132354990471513 4.55972738351567 5.21571049151193e-06 0.00302929396437227 "7"
"YDL115C5" "YDL115C" "chrIV" "YDL115C" 893.416572617512 -0.551807757533729 0.155363167474056 -3.55172829252387 0.000385416328846166 0.0768594756428063 "7"
"YDL168W5" "YDL168W" "chrIV" "YDL168W" 3648.05352767252 -1.75170748708974 0.336578820270225 -5.20444954225987 2.00525886095641e-07 0.00024793020556865 "7"
"YDL224C5" "YDL224C" "chrIV" "YDL224C" 396.402766255442 0.752626612874078 0.213422930147613 3.52645618890869 0.000424060672278325 0.0781740572751897 "7"
"YGL080W5" "YGL080W" "chrVII" "YGL080W" 1789.71963911221 -1.33087276823064 0.386734272842983 -3.44131064062943 0.0005825415658499 0.0953812587267453 "7"
"YGL081W5" "YGL081W" "chrVII" "YGL081W" 93.4985581345572 -1.37726801294227 0.387335345082433 -3.55575092856337 0.000379577762060677 0.0768594756428063 "7"
"YGL258W5" "YGL258W" "chrVII" "YGL258W" 9.25191772581469 -2.74819581560152 0.798994355183235 -3.43956849979405 0.000586296964027228 0.0953812587267453 "7"
"YHR050W-A5" "YHR050W-A" "chrVIII" "YHR050W-A" 93.5078512751116 -1.2050415899535 0.344971836015053 -3.49315933692894 0.000480513675295898 0.0848724440194068 "7"
"YIL009C-A5" "YIL009C-A" "chrIX" "YIL009C-A" 221.199359610115 -0.842299057952048 0.218686924029637 -3.85162058357864 0.000118464763302701 0.030514548614054 "7"
"YJL181W5" "YJL181W" "chrX" "YJL181W" 237.342590828209 1.00521550722734 0.282497594376351 3.55831528210523 0.000375899056403583 0.0768594756428063 "7"
"YJR044C5" "YJR044C" "chrX" "YJR044C" 970.094369498429 -0.723494045437386 0.183412702342962 -3.94462344317097 8.07650778077098e-05 0.0219480008670923 "7"
"YLR342W5" "YLR342W" "chrXII" "YLR342W" 3130.47198573637 1.07751382524494 0.310752120355916 3.46743836859689 0.000528840863398127 0.0908137282646451 "7"
"YMR083W5" "YMR083W" "chrXIII" "YMR083W" 6528.21908888098 0.767703090857215 0.217924214574803 3.52279847540164 0.000429944669582085 0.0781740572751897 "7"
"YOR241W5" "YOR241W" "chrXV" "YOR241W" 374.891299718111 0.606130991995987 0.165475164695863 3.66297258630944 0.000251284691136348 0.0561004671684179 "7"
