"genesNoAneu$GENEID" "genesNoAneu$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAL001C8" "YAL001C" "chrI" "YAL001C" 986.603632199468 -1.48145936008803 0.234643457588343 -6.31366148161307 2.90457850488381e-10 2.76247758726027e-08 "11"
"YAL002W8" "YAL002W" "chrI" "YAL002W" 621.668282304953 -0.736126935957475 0.253363369863173 -2.90541973906889 0.00367996307144245 0.0237965812841603 "11"
"YAL007C8" "YAL007C" "chrI" "YAL007C" 680.504097115147 -1.4460290855584 0.178120514874363 -8.11826243921625 5.60909687893211e-16 2.88961974212986e-13 "11"
"YAL009W8" "YAL009W" "chrI" "YAL009W" 209.674029210701 -0.703923433222196 0.203788457705039 -3.45418696009293 0.000555471964739082 0.00535714147584556 "11"
"YAL010C8" "YAL010C" "chrI" "YAL010C" 286.782154435731 -0.978402343760652 0.194327902628732 -5.03480113007709 4.91202029650585e-07 1.65033203657604e-05 "11"
"YAL011W8" "YAL011W" "chrI" "YAL011W" 192.146848240512 -1.22686585733852 0.237732660882373 -5.16069543320156 2.53317302485644e-07 9.26631694654586e-06 "11"
"YAL013W8" "YAL013W" "chrI" "YAL013W" 584.927542298621 -1.49394982882533 0.297172314427104 -5.02721739643011 5.10945294392504e-07 1.68912503205051e-05 "11"
"YAL014C8" "YAL014C" "chrI" "YAL014C" 404.464486683731 -1.22558381720762 0.20957180374757 -5.84803773833924 5.21519520386224e-09 3.22403367502764e-07 "11"
"YAL015C8" "YAL015C" "chrI" "YAL015C" 445.419883135262 -1.08443568143298 0.17707117145843 -6.1242926926 9.63962882038572e-10 7.73924485293825e-08 "11"
"YAL016C-B8" "YAL016C-B" "chrI" "YAL016C-B" 22.7727223847124 -1.52909369920907 0.583095722533167 -2.62237166235102 0.00875234807249293 0.0460877476866706 "11"
"YAL016W8" "YAL016W" "chrI" "YAL016W" 2700.48595915179 -1.00363814380273 0.134733570075233 -7.44905774590782 1.06182234729025e-13 2.85399380476014e-11 "11"
"YAL017W8" "YAL017W" "chrI" "YAL017W" 1363.84655349143 -0.843932740925662 0.332623304768484 -2.5372026819139 0.011197361776218 0.0560502757089713 "11"
"YAL019W8" "YAL019W" "chrI" "YAL019W" 528.974895568924 -1.14466487448194 0.178829764826785 -6.40086327681898 1.6525479938367e-10 1.73153418608449e-08 "11"
"YAL020C8" "YAL020C" "chrI" "YAL020C" 167.198219479609 -1.06860719206249 0.400952337429285 -2.66517262104991 0.00771386658399576 0.0420892526233555 "11"
"YAL021C8" "YAL021C" "chrI" "YAL021C" 1300.52494170333 -1.09978320098809 0.201766342781867 -5.45077630800436 5.19906847840343e-08 2.39855532339477e-06 "11"
