"genesNoAneu$GENEID" "genesNoAneu$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"Q00756" "Q0075" "chrM" "Q0075" 0.64081426248982 13.2791940899341 4.35083781174515 3.05210046076337 0.00228162240604735 0.00986362917075855 "8"
"YAL007C6" "YAL007C" "chrI" "YAL007C" 680.504097115147 -0.362189128549885 0.173139275859496 -2.09189467122298 0.0364865791181378 0.0887682141315735 "8"
"YAL010C6" "YAL010C" "chrI" "YAL010C" 286.782154435731 -0.712748053284498 0.192242562768118 -3.70754552489091 0.000211016853474448 0.00149086421506176 "8"
"YAL012W6" "YAL012W" "chrI" "YAL012W" 847.003843737191 1.46864728195163 0.609582864152661 2.40926602159839 0.0160122224674383 0.0468913118397458 "8"
"YAL013W6" "YAL013W" "chrI" "YAL013W" 584.927542298621 0.849454051357331 0.290829135174546 2.92080107740072 0.00350331498828859 0.0138298168950192 "8"
"YAL014C6" "YAL014C" "chrI" "YAL014C" 404.464486683731 1.03289148051076 0.198195670158147 5.21147348822797 1.93109310986566e-07 4.73730857348791e-06 "8"
"YAL022C6" "YAL022C" "chrI" "YAL022C" 304.344944322681 0.772894267639444 0.284259799648965 2.71897140782446 0.00656588398534703 0.0228806622307865 "8"
"YAL024C6" "YAL024C" "chrI" "YAL024C" 224.11926052391 -0.541929561334991 0.257332048763149 -2.10595440381306 0.0352464968580681 0.0864658109430861 "8"
"YAL028W6" "YAL028W" "chrI" "YAL028W" 205.742830589263 1.12731210868545 0.379822905799495 2.96799400845126 0.00300841326492817 0.0122355334235434 "8"
"YAL034C6" "YAL034C" "chrI" "YAL034C" 1796.70106980057 0.887402896131184 0.285716653218027 3.10588440028387 0.00190526375402049 0.00854741692841415 "8"
"YAL039C6" "YAL039C" "chrI" "YAL039C" 1392.64925190379 1.75470996130865 0.35368554941079 4.96121474069792 7.18315015276455e-07 1.46720414519889e-05 "8"
"YAL040C6" "YAL040C" "chrI" "YAL040C" 1059.1225917004 -1.37721349920502 0.477620637469169 -2.88348825650133 0.00394586139998655 0.015245821984198 "8"
"YAL041W6" "YAL041W" "chrI" "YAL041W" 468.469240936869 0.565699335810445 0.121062308230645 4.67279489444963 3.03104003550029e-06 4.85437551799555e-05 "8"
"YAL044C6" "YAL044C" "chrI" "YAL044C" 2352.96779431644 -1.15890262892338 0.506880415871457 -2.28634327276372 0.0222661483312475 0.0609337445700628 "8"
"YAL044W-A6" "YAL044W-A" "chrI" "YAL044W-A" 174.153442569178 -0.960346004076283 0.269835953668211 -3.55899942546989 0.000374923263289386 0.00236749296593972 "8"
"YAL048C6" "YAL048C" "chrI" "YAL048C" 320.512451377327 0.40646950619464 0.193920005277246 2.09606794107453 0.0361146697192058 0.0880713562935425 "8"
"YAL051W6" "YAL051W" "chrI" "YAL051W" 631.088648236979 0.691219623838838 0.209677941890366 3.29657768293174 0.000983947664736681 0.00505212995299183 "8"
"YAL053W6" "YAL053W" "chrI" "YAL053W" 1775.9889149887 0.712742387215931 0.283340691161696 2.51549604221579 0.0119103763642195 0.0371493171965717 "8"
"YAL054C6" "YAL054C" "chrI" "YAL054C" 22534.4973260648 -2.50402665002456 0.95248151147849 -2.62895039940217 0.00858500843352198 0.0284114144197178 "8"
"YAL055W6" "YAL055W" "chrI" "YAL055W" 176.574337752961 0.668109530938683 0.311726093292645 2.1432582812741 0.0321293113935085 0.0806428757753428 "8"
"YAL056W6" "YAL056W" "chrI" "YAL056W" 1583.50775477132 0.334764999554232 0.129672278006053 2.58162349502804 0.00985533633963714 0.0317818740463255 "8"
"YAL060W6" "YAL060W" "chrI" "YAL060W" 4218.33613859057 -0.756355150422213 0.287672718595249 -2.62922099153377 0.00857818720380886 0.0284040456850275 "8"
"YAL062W6" "YAL062W" "chrI" "YAL062W" 9081.10585387735 -3.35598892418672 0.936483711278051 -3.58360629637294 0.000341360942958861 0.00217556015399142 "8"
"YAL063C-A6" "YAL063C-A" "chrI" "YAL063C-A" 4.1190591761755 1.60510435039196 0.742085511031765 2.16296414163954 0.0305802176437122 0.0776262816937607 "8"
"YAL067W-A6" "YAL067W-A" "chrI" "YAL067W-A" 5.42532055327874 3.24055745704513 0.939561401683525 3.44901083765109 0.000566209605968574 0.0033222098795331 "8"
"YAL068C6" "YAL068C" "chrI" "YAL068C" 10.4205594983256 2.91427830772266 0.711009233963662 4.098791082468 4.20361650151387e-05 0.00041578811539774 "8"
