"","GenAll$TXCHROM","genesGC_1$GENEID.x","genesGC_1$TXCHROM.x","GENEID","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","Sample.x","genesGC_1$GENEID.y","genesGC_1$TXCHROM.y","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y","Sample.y"
"1","chrI","YAL054C","chrI","YAL054C",31664.4939953425,-1.95479017149009,0.283923116601724,-6.88492784556249,5.78168325276395e-12,8.50059587715584e-10,"59","YAL054C","chrI",30483.5085885739,-1.36117515544375,0.282516200163797,-4.81804284021436,1.44973247903467e-06,7.64118430223275e-05,"61"
"2","chrI","YAL062W","chrI","YAL062W",11974.0522832367,-2.01325361287776,0.377019674819736,-5.33991658085312,9.29893593294254e-08,4.29364917829339e-06,"59","YAL062W","chrI",12677.7534214291,-1.0488952875825,0.307253763958754,-3.41377522627617,0.000640694099729614,0.0105904080922762,"61"
"3","chrII","YBL002W","chrII","YBL002W",2041.08727909118,-1.41574797039156,0.385227493264708,-3.6750958722947,0.000237760115473369,0.00378451784942937,"59","YBL002W","chrII",2103.78161571626,-1.06920096555678,0.313792313936149,-3.40735230938237,0.000655963975042933,0.0107474214913926,"61"
"4","chrII","YBL022C","chrII","YBL022C",1514.32084224344,1.32595383731849,0.433230052723451,3.06062293920525,0.00220877061275215,0.0223153732612048,"59","YBL022C","chrII",1476.15283273295,1.23246595676119,0.333680074715208,3.69355574441503,0.000221140005198183,0.00452853493107599,"61"
"5","chrII","YBL030C","chrII","YBL030C",13224.0360990917,1.43234492747718,0.462252298142514,3.09862153900117,0.00194423205946432,0.0201391277498087,"59","YBL030C","chrII",12807.4118415724,1.34164668343616,0.347989696257163,3.85542071465441,0.000115530770290036,0.00283584489150914,"61"
"6","chrII","YBL039W-B","chrII","YBL039W-B",262.862884493662,-1.11543326554433,0.466332610926972,-2.39192636201676,0.0167602046785625,0.0966349468928056,"59","YBL039W-B","chrII",253.115703737118,-1.33182703264673,0.409013256486031,-3.25619527369088,0.00112916063955628,0.0161759499825666,"61"
"7","chrII","YBL048W","chrII","YBL048W",682.877068102115,-1.19912278210129,0.399829089649185,-2.99908839337681,0.00270788732590075,0.0258173489587159,"59","YBL048W","chrII",703.5957604256,-1.08991263657632,0.36049533665385,-3.02337513348435,0.00249972163631446,0.0293952309410685,"61"
"8","chrII","YBL049W","chrII","YBL049W",1429.26243946021,-1.16565038637555,0.396752212549642,-2.93798080894054,0.00330357472594366,0.0302079738033506,"59","YBL049W","chrII",1456.41751170808,-1.01480417138314,0.325936262650599,-3.11350496299642,0.00184879400516415,0.0236366409767783,"61"
"9","chrII","YBL067C","chrII","YBL067C",1605.55586924359,-1.25216760938049,0.353602584089584,-3.54117211163608,0.000398353635368774,0.00579583791876391,"59","YBL067C","chrII",1586.69010350109,-1.21523910547262,0.276991437862488,-4.38728039700607,1.14776783250012e-05,0.000442246819322632,"61"
"10","chrII","YBL078C","chrII","YBL078C",1314.98634783142,-1.07773941455063,0.327261728009938,-3.2932033363764,0.000990528111381624,0.0117997453268425,"59","YBL078C","chrII",1363.70500116067,-0.816002774209409,0.300713348808592,-2.71355687215869,0.006656514120696,0.0599837812779493,"61"
"11","chrII","YBL090W","chrII","YBL090W",643.100983152446,1.06663136110091,0.275223171266818,3.87551439143489,0.000106399690719302,0.00200829416232682,"59","YBL090W","chrII",646.989505394785,0.892798639445533,0.294552248470431,3.03103657867734,0.00243715720798468,0.0289095484522514,"61"
"12","chrII","YBL093C","chrII","YBL093C",447.012559190993,-0.780190658808717,0.29498046854287,-2.64488921135241,0.00817176675065251,0.0592930660206436,"59","YBL093C","chrII",426.333944102358,-0.818105569637392,0.314311996209573,-2.60284551497648,0.00924536031234904,0.0766171074648881,"61"
"13","chrII","YBL098W","chrII","YBL098W",1963.11192177695,-0.938770701887687,0.248860865810258,-3.7722713003958,0.000161768220410361,0.00280682933985307,"59","YBL098W","chrII",2000.10742985798,-0.759313926933121,0.257739852257681,-2.94604780860191,0.00321862647900188,0.03525973752585,"61"
"14","chrII","YBR009C","chrII","YBR009C",3061.25081101662,-1.63616948951214,0.361711546366475,-4.52340962280043,6.08513097438648e-06,0.00016914242166118,"59","YBR009C","chrII",3227.72296563448,-1.24417570050017,0.330458155742078,-3.76500225181685,0.000166547581296575,0.00362062776927613,"61"
"15","chrII","YBR010W","chrII","YBR010W",2585.82968958951,-0.995188755817022,0.390274071788318,-2.54997405094542,0.0107730937265652,0.0716538983932379,"59","YBR010W","chrII",2755.27422378817,-0.861468683078851,0.332477471425256,-2.59105881486024,0.00956811375299172,0.0784978730366589,"61"
"16","chrII","YBR026C","chrII","YBR026C",9086.25805125255,-1.80041631009085,0.347657672689239,-5.17870437365605,2.23432209120853e-07,9.30779341584111e-06,"59","YBR026C","chrII",9808.43987035197,-1.515400747567,0.309164299172612,-4.90160329514928,9.50576448824234e-07,5.41925573426632e-05,"61"
"17","chrII","YBR037C","chrII","YBR037C",496.527995822489,1.18821414373179,0.361598484120662,3.28600421713963,0.00101619488555391,0.0119389055832172,"59","YBR037C","chrII",488.09875150999,1.1228216328024,0.298681065355698,3.75926619742446,0.000170412445640541,0.00367603989881737,"61"
"18","chrII","YBR067C","chrII","YBR067C",12464.7675712786,-2.9058686597467,0.471908260661841,-6.15769822649699,7.38098287071091e-10,6.54564306327966e-08,"59","YBR067C","chrII",12330.0059282178,-2.23294253145988,0.274052509428188,-8.1478638386451,3.70409080792138e-16,1.37965035625712e-13,"61"
