"genesNoAneu$GENEID" "genesNoAneu$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAL008W11" "YAL008W" "chrI" "YAL008W" 873.84374766859 -0.576401831455432 0.231796069467415 -2.48667646858636 0.0129191262148965 0.0992594969768093 "59"
"YAL019W11" "YAL019W" "chrI" "YAL019W" 528.974895568924 0.43431663981355 0.171630129817464 2.53053843328944 0.0114121240524992 0.0925389558550801 "59"
"YAR027W11" "YAR027W" "chrI" "YAR027W" 299.347006046105 -0.56902021287267 0.225675459690742 -2.52140934442955 0.0117122524724345 0.09397930288773 "59"
"YAR033W11" "YAR033W" "chrI" "YAR033W" 87.7054567238584 -0.484695449352606 0.191784574646125 -2.52729110381766 0.0115180917661126 0.0929365366572054 "59"
"YBL008W11" "YBL008W" "chrII" "YBL008W" 208.791471878066 0.707190413371227 0.233200220194261 3.0325460789965 0.0024345503251705 0.0346437654253135 "59"
"YBL014C11" "YBL014C" "chrII" "YBL014C" 232.778408135707 0.512749740721633 0.204205370054165 2.5109513064501 0.0120646609903268 0.0956494480410452 "59"
"YBL020W11" "YBL020W" "chrII" "YBL020W" 950.343410756231 0.519329333723661 0.19340106062571 2.68524553093699 0.00726602303161068 0.0690371667083552 "59"
"YBL022C11" "YBL022C" "chrII" "YBL022C" 1543.69085904322 1.16019274642596 0.353410322472021 3.28284906425678 0.00103305653481477 0.0193621552345289 "59"
"YBL025W11" "YBL025W" "chrII" "YBL025W" 174.533325165616 -0.70880927906391 0.28022784607449 -2.52940344435112 0.0114490625026905 0.0925389558550801 "59"
"YBL030C11" "YBL030C" "chrII" "YBL030C" 12949.8970938188 1.39079336541143 0.51367404132386 2.70754068441346 0.00679607282729316 0.065703487664178 "59"
"YBL059C-A11" "YBL059C-A" "chrII" "YBL059C-A" 871.372876819426 0.795039412993639 0.291205288585076 2.73016818086175 0.00634723035896838 0.0633886498123004 "59"
"YBL059W11" "YBL059W" "chrII" "YBL059W" 435.065759510422 0.722807445258185 0.246629371312719 2.93074357450186 0.00339327353816007 0.0425000499758809 "59"
"YBL060W11" "YBL060W" "chrII" "YBL060W" 435.845924042426 0.424778345724654 0.166115210053871 2.55713095499742 0.0105764161483205 0.0883116180318444 "59"
"YBL068W11" "YBL068W" "chrII" "YBL068W" 560.195798651116 0.685614221641012 0.149922721610148 4.57311749865274 4.89411351860757e-06 0.000293943534979529 "59"
"YBL076C11" "YBL076C" "chrII" "YBL076C" 2437.64392842908 0.623639569243873 0.190563886381373 3.27260102155869 0.0010711833047105 0.0198578385111775 "59"
"YBL077W11" "YBL077W" "chrII" "YBL077W" 16.2483913825484 1.2075605938983 0.413859805040969 2.91780109880148 0.00353715034656675 0.0434933172431798 "59"
"YBL078C11" "YBL078C" "chrII" "YBL078C" 1458.91424020308 -0.841501445183141 0.256650012693736 -3.27878980542782 0.00104800580256887 0.0195477266928384 "59"
"YBL089W11" "YBL089W" "chrII" "YBL089W" 333.966565645512 -0.420865270057412 0.16415245437277 -2.56386827516864 0.0103735258939464 0.0874607982880431 "59"
"YBL090W11" "YBL090W" "chrII" "YBL090W" 768.968575843163 0.895815711440357 0.303278460532137 2.95377294473384 0.00315037750693749 0.0410315273177605 "59"
"YBL113C11" "YBL113C" "chrII" "YBL113C" 20.1919237717265 -1.23797467112737 0.448752262094471 -2.75870402379554 0.00581931212750511 0.0612442189530139 "59"
"YBR003W11" "YBR003W" "chrII" "YBR003W" 837.152928327265 0.776862061884722 0.300523999444335 2.58502503401102 0.00975873711041239 0.0840056764475995 "59"
"YBR009C11" "YBR009C" "chrII" "YBR009C" 2904.45940458127 -0.980978850121779 0.343035370644789 -2.85970175109895 0.00425388035140527 0.0503652786918335 "59"
"YBR024W11" "YBR024W" "chrII" "YBR024W" 809.792033052251 0.783474546461332 0.275860710644989 2.84010921536993 0.00452379740237287 0.0519923791724403 "59"
"YBR037C11" "YBR037C" "chrII" "YBR037C" 699.503455306662 0.937814839915623 0.330312972707863 2.83917047589 0.00453711128047194 0.0519923791724403 "59"
"YBR044C11" "YBR044C" "chrII" "YBR044C" 815.774835781494 0.675319982310746 0.247866817606849 2.72452758635041 0.00645654848936908 0.0640582601351151 "59"
"YBR056W-A11" "YBR056W-A" "chrII" "YBR056W-A" 14.0550307828645 -1.57596411659293 0.543412710023306 -2.90012376877483 0.00374263512229653 0.0455579399826537 "59"
"YBR074W11" "YBR074W" "chrII" "YBR074W" 764.52699739165 0.361831494070555 0.133890541584305 2.70244253095895 0.00690105741250521 0.0662982726380453 "59"
"YBR115C11" "YBR115C" "chrII" "YBR115C" 2042.13207704928 0.699575223264759 0.225152978727255 3.10711067301583 0.00189738969542736 0.0288994380243233 "59"
