"genesNoAneu$GENEID" "genesNoAneu$TXCHROM" "GENEID" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Sample"
"YAR033W13" "YAR033W" "chrI" "YAR033W" 87.7054567238584 -0.563330361291388 0.187818577680718 -2.9993324848249 0.00271595307216708 0.0529884412122799 "76"
"YAR035C-A13" "YAR035C-A" "chrI" "YAR035C-A" 61.6770191756976 -1.07903630624703 0.335431441209176 -3.21686095482665 0.00130235446789585 0.0306999191846369 "76"
"YBL004W13" "YBL004W" "chrII" "YBL004W" 977.080165607613 -0.631433279740498 0.21052409520818 -2.99933971508627 0.0027158887048278 0.0529884412122799 "76"
"YBR072W13" "YBR072W" "chrII" "YBR072W" 1655.28176160827 1.27790575223539 0.443192194535651 2.88341213584391 0.00394681392523626 0.0677853403665577 "76"
"YBR162C13" "YBR162C" "chrII" "YBR162C" 1942.71730784148 0.939855081897787 0.332531903594853 2.82636063408483 0.0047223715123072 0.0770461111182796 "76"
"YBR179C13" "YBR179C" "chrII" "YBR179C" 1331.97670375316 0.752675322531784 0.252337003633957 2.98281786536398 0.00286666649870311 0.0543047587229407 "76"
"YBR207W13" "YBR207W" "chrII" "YBR207W" 1022.77173033136 0.279018027060831 0.0953679458635562 2.92570029200403 0.00344869191956294 0.0616107705437689 "76"
"YBR235W13" "YBR235W" "chrII" "YBR235W" 819.594601608678 0.435105780938877 0.124357120025795 3.49884092562312 0.000470409449380017 0.0144987820560263 "76"
"YCR057C13" "YCR057C" "chrIII" "YCR057C" 470.565223843003 -0.789120485758184 0.271341106763101 -2.90822314087168 0.00364717559362432 0.0643845053710398 "76"
"YDL053C13" "YDL053C" "chrIV" "YDL053C" 1003.26796609722 0.270534749330492 0.0874958708000766 3.09197161942247 0.00199672596932121 0.0427848845401874 "76"
"YDR071C13" "YDR071C" "chrIV" "YDR071C" 1208.91163023327 -0.383705706035628 0.117280592065318 -3.27168970823347 0.00107463603419843 0.026641628986954 "76"
"YDR131C13" "YDR131C" "chrIV" "YDR131C" 287.491027891668 0.464649636986449 0.147586899143905 3.1483122125453 0.00164958240271762 0.0368361916661607 "76"
"YDR151C13" "YDR151C" "chrIV" "YDR151C" 628.459592607787 0.530015142887731 0.194864315361921 2.71991894412959 0.00654712119819771 0.0998173397650357 "76"
"YDR186C13" "YDR186C" "chrIV" "YDR186C" 2853.54753303487 0.328539387879742 0.107587163648886 3.05370433365024 0.00226947812785062 0.0463819508423092 "76"
"YDR205W13" "YDR205W" "chrIV" "YDR205W" 566.240717050739 0.396323013159941 0.0864442279271214 4.58472500320171 4.63078050556155e-06 0.00045525362832262 "76"
"YDR218C13" "YDR218C" "chrIV" "YDR218C" 56.0844152140696 1.5809261860452 0.454703664780848 3.47682745598093 0.000510697417891695 0.0155721747423446 "76"
"YDR282C13" "YDR282C" "chrIV" "YDR282C" 402.198081271492 0.822941357892672 0.188854465101687 4.3575424994562 1.33551688546587e-05 0.00105765517790645 "76"
"YDR334W13" "YDR334W" "chrIV" "YDR334W" 888.24576293118 -0.830030350100868 0.286817560098446 -2.89393142391969 0.00381714449183704 0.0659556299771358 "76"
"YDR343C13" "YDR343C" "chrIV" "YDR343C" 3962.87392532813 1.05018820973451 0.353083885443494 2.97433061385798 0.00294705737636104 0.055337151327021 "76"
"YDR406W13" "YDR406W" "chrIV" "YDR406W" 2954.97609481076 0.937518444345884 0.30256604286336 3.09855803868007 0.00195293601636475 0.0420212874162709 "76"
"YDR414C13" "YDR414C" "chrIV" "YDR414C" 147.095583061066 0.667273544739773 0.241765249052848 2.76000602797102 0.0057961978487072 0.0905477263926807 "76"
"YDR448W13" "YDR448W" "chrIV" "YDR448W" 169.191151735029 -0.623931973432567 0.182302179327652 -3.42251516539018 0.000624266676633946 0.0177092964684914 "76"
"YDR483W13" "YDR483W" "chrIV" "YDR483W" 3018.22291089661 0.372665151598919 0.127629827282142 2.91989074603302 0.0035135509263116 0.0624120479184697 "76"
"YDR539W13" "YDR539W" "chrIV" "YDR539W" 588.272427706766 0.492591987580039 0.144832329128034 3.40111900806745 0.000675142852455892 0.0185974132594372 "76"
"YEL015W13" "YEL015W" "chrV" "YEL015W" 839.389107518805 -0.418354509324693 0.148413179974374 -2.81885011423466 0.00483415007411159 0.0785308368164794 "76"
"YEL077C13" "YEL077C" "chrV" "YEL077C" 380.460429318984 -0.671471626042752 0.233842661021503 -2.87146760607984 0.00409889390544862 0.0697668449219941 "76"
"YER059W13" "YER059W" "chrV" "YER059W" 526.054169187556 -0.428375465576266 0.121805978751777 -3.51686731608825 0.000439648160257904 0.0138501315458043 "76"
"YER096W13" "YER096W" "chrV" "YER096W" 312.349832457205 -1.48412042165309 0.302378980674452 -4.90814678435247 9.41785905879742e-07 0.000134251580883157 "76"
"YER124C13" "YER124C" "chrV" "YER124C" 944.118012157256 -1.04941731948935 0.348781922474129 -3.0088065116597 0.00263279657472142 0.0523073382197265 "76"
"YFL041W13" "YFL041W" "chrVI" "YFL041W" 918.522401091726 0.551974186586794 0.154654113338659 3.56908830079475 0.000360805740138082 0.0119611298271357 "76"
"YFR005C13" "YFR005C" "chrVI" "YFR005C" 203.295500503068 -0.647890862814211 0.213232730851127 -3.03842126032026 0.0023876444270991 0.0484496388730216 "76"
"YGL057C13" "YGL057C" "chrVII" "YGL057C" 230.805282827187 0.791257937004055 0.219196586216975 3.60980958079711 0.000308724771947033 0.0107338332295243 "76"
"YGL062W13" "YGL062W" "chrVII" "YGL062W" 15886.1185956345 1.08908080531323 0.311811293319349 3.49275612733444 0.000481238389750267 0.0147528026793335 "76"
"YGR032W13" "YGR032W" "chrVII" "YGR032W" 7724.01734992608 0.846830830004103 0.253541482383035 3.34000898805491 0.000842467393055857 0.0222395790518727 "76"
"YGR050C13" "YGR050C" "chrVII" "YGR050C" 214.508506388656 -1.12424949787692 0.299784684065586 -3.75018991173998 0.000178233726455265 0.00673038879634387 "76"
"YGR164W13" "YGR164W" "chrVII" "YGR164W" 17.6360905822403 -3.11501075568052 1.0755077364524 -2.89631645603544 0.0037882884183668 0.0656559895487158 "76"
"YGR213C13" "YGR213C" "chrVII" "YGR213C" 118.556189191163 0.709806416042147 0.240108340992832 2.95619224682967 0.00312580322776644 0.0575050282896247 "76"
"YGR258C13" "YGR258C" "chrVII" "YGR258C" 548.760065257277 0.49709441189576 0.144654265066438 3.43643107700592 0.000593116976941182 0.017432747435663 "76"
"YHR061C13" "YHR061C" "chrVIII" "YHR061C" 133.108876337762 0.692269918160374 0.21384613794081 3.23723367102372 0.00121298958583868 0.0291834034533846 "76"
"YHR122W13" "YHR122W" "chrVIII" "YHR122W" 619.824857033724 0.553449055754369 0.201720265016907 2.74364628515624 0.00609273354611321 0.0948082726646115 "76"
"YHR207C13" "YHR207C" "chrVIII" "YHR207C" 460.251650654534 -0.494470915417045 0.181177927937444 -2.72920063192119 0.00636586283930425 0.0978386790019213 "76"
"YIL001W13" "YIL001W" "chrIX" "YIL001W" 352.283092076848 0.599865302344515 0.179942859814196 3.33364326299982 0.000861950872786979 0.022562786354621 "76"
"YIL002C13" "YIL002C" "chrIX" "YIL002C" 436.379085809081 0.875258419041192 0.140228066975625 6.24167784608578 4.60129367647955e-10 2.38514332211695e-07 "76"
"YIL004C13" "YIL004C" "chrIX" "YIL004C" 365.928539824865 0.693532866460039 0.181130761028491 3.82890715261197 0.000129921410491142 0.00552844688522754 "76"
"YIL005W13" "YIL005W" "chrIX" "YIL005W" 1074.10535154252 0.814588614859199 0.212974395872465 3.82481946490411 0.000132091074619147 0.00557913561095095 "76"
"YIL010W13" "YIL010W" "chrIX" "YIL010W" 318.799189166453 0.967986138410335 0.208251010678376 4.64817018297835 3.41491290981541e-06 0.000381800655132695 "76"
"YIL013C13" "YIL013C" "chrIX" "YIL013C" 328.523566569863 0.760926031612066 0.182427668959926 4.17111086246033 3.07056983855557e-05 0.00196723474375774 "76"
"YIL017C13" "YIL017C" "chrIX" "YIL017C" 1044.19243846658 0.542142455671796 0.146552379549261 3.69930844752721 0.000217969217709697 0.00807052259338112 "76"
"YIL022W13" "YIL022W" "chrIX" "YIL022W" 1659.79356543594 0.879702907004197 0.273477287683158 3.21673113865087 0.00130294290471451 0.0306999191846369 "76"
"YIL030C13" "YIL030C" "chrIX" "YIL030C" 896.327985062238 0.727633687028293 0.157603965306026 4.61684885666055 3.97089600347898e-06 0.00041929720392291 "76"
"YIL033C13" "YIL033C" "chrIX" "YIL033C" 4125.84974702698 0.650300878545019 0.161375191245024 4.02974505268059 5.64735254335642e-05 0.00294032075603481 "76"
"YIL034C13" "YIL034C" "chrIX" "YIL034C" 1458.26508048822 0.952022470375547 0.0962418461863463 9.89198054796469 6.53880040152789e-23 1.8642119944756e-19 "76"
"YIL035C13" "YIL035C" "chrIX" "YIL035C" 905.184454794633 0.775087307592097 0.17085026302466 4.53664685011474 5.81810420980722e-06 0.000543849675480668 "76"
