"","GENEID","TXCHROM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sample"
"1","YAL001C","chrI",1031.81982742282,-0.0915165659141824,0.222296698316353,-0.411686572977994,0.680569167712477,0.93999037159538,"76"
"2","YAL002W","chrI",532.127477896583,-0.275943258735938,0.219143624204538,-1.25918908084858,0.207962044571594,0.668541544600944,"76"
"3","YAL003W","chrI",2302.49683185892,0.258847498289058,0.241322071066082,1.07262256264234,0.283440497236721,0.751938299174531,"76"
"4","YAL005C","chrI",5272.96565278566,-1.04515075455499,0.302599716048081,-3.45390527196966,0.000552531418522661,0.0195379306030766,"76"
"5","YAL007C","chrI",729.543230575649,0.0587525953182914,0.216593108400412,0.271257916524641,0.786192671145925,0.960281852648675,"76"
"6","YAL008W","chrI",1054.02822025441,0.0965422364284016,0.26788151309836,0.36039156010349,0.718554337257836,0.946582301191138,"76"
"7","YAL009W","chrI",235.355372663516,0.137994059914683,0.251397221370283,0.548908453174318,0.583068276760468,0.914934253189085,"76"
"8","YAL010C","chrI",334.800605700842,-0.216776361174875,0.242840719011695,-0.892668915069533,0.37203450168901,0.81717934673737,"76"
"9","YAL011W","chrI",197.409526631807,0.194000309940219,0.24029499765075,0.807342274441282,0.419469314610824,0.840233607556878,"76"
"10","YAL012W","chrI",405.616444418859,-0.590645650221552,0.402981358985085,-1.46568975723617,0.142732825874299,0.564365391478918,"76"
"11","YAL013W","chrI",478.04765066472,-0.510704684777359,0.260597313677116,-1.95974654370433,0.0500254221062086,0.324942058399156,"76"
"12","YAL014C","chrI",347.749685067751,0.0178903333507416,0.247087349633206,0.0724048939668473,0.942279690197073,0.987437985745793,"76"
"13","YAL015C","chrI",483.21964022559,0.251949084747145,0.21114391081318,1.19325764014132,0.232768486736233,0.698572278457003,"76"
"14","YAL016C-B","chrI",20.7444227123582,0.443142732158354,0.531093736331119,0.834396457430765,0.404057612867246,0.832917504151561,"76"
"15","YAL016W","chrI",2878.43758314434,-0.0843295223694352,0.227486451718858,-0.370701295537612,0.710860025281314,0.946397663444241,"76"
"16","YAL017W","chrI",1212.81779675537,-0.127724672509264,0.255747120442138,-0.499417832304242,0.617485059215534,0.924039812334648,"76"
"17","YAL019W","chrI",456.524864061345,-0.187615258935575,0.229318880214517,-0.818141353036743,0.413276478331138,0.835143082147557,"76"
"18","YAL020C","chrI",144.535510170317,-0.240102078901082,0.307935316757548,-0.779715952782791,0.43555808674141,0.84481556546839,"76"
"19","YAL021C","chrI",1309.64906976472,-0.239154887799139,0.237086711018495,-1.00872329272172,0.313107357674212,0.776092799398241,"76"
"20","YAL022C","chrI",257.927904881021,-0.0296228376361685,0.245709590733102,-0.120560363752125,0.904039264919142,0.982276813127819,"76"
"21","YAL023C","chrI",1412.86503481026,-0.0871429504394737,0.265380897187353,-0.328369341437386,0.742632420962853,0.952907074079504,"76"
