"","GENE","CHRM","112","115","117","123","141","152","29","50","MAAnc"
"1","YAL001C","chrI",0.426653702949192,0.971549580584631,0.288788689612753,0.272139648172813,0.552462506707651,0.011114626270148,0.753894913648583,0.202856795790483,0.0133943501569627
"2","YAL002W","chrI",0.215842179322873,0.357417527674842,0.047337185867405,0.0974814318089783,0.230390318740607,0.27459294975697,0.855332477281364,0.167581480395022,0.0646445259126243
"3","YAL003W","chrI",1.58259948980381,0.0453200127305532,0.0425015993928368,0.0213299356427774,1.05685196983145,0.132725218746138,1.85429717121275,0.891796603394456,0.540151517803961
"4","YAL005C","chrI",0.00082270852522418,0.491615216746917,0.0577253630265278,0.0791296642269966,0.0863744658029311,0.63841821731959,0.0958706031584348,0.0849686415331979,0.0167059451431896
"5","YAL007C","chrI",2.90334556041676,0.192534814964272,0.298450879243152,0.0907303531419988,0.332776712273527,0.357583579620023,2.60716765664811,0.467788447875269,0.560240090670707
"6","YAL008W","chrI",1.82091931904255,2.0063729044121,1.20617861660714,0.523537736209905,0.414604324787444,0.124312006664514,0.39031103007663,0.478653194296767,0.118588756072885
"7","YAL009W","chrI",0.391452178873144,0.537429367044176,0.110450889673899,0.0981146671677448,0.00464592393939625,0.0485124339093354,0.281640107777391,0.0134087244736843,0.0469604951402307
"8","YAL010C","chrI",0.292846677151194,0.296661167512483,0.124008930329311,0.128196421358312,0.0970615193741275,0.00234076291804445,1.59551221555305,0.194193347603102,0.0196505088114631
"9","YAL011W","chrI",0.29259036013921,0.313798054099528,0.245786942152485,0.034817078081419,0.0306354420323729,0.0199080323016569,0.579455367224088,0.301290365248495,0.127309685962872
"10","YAL012W","chrI",2.658967661212,0.851664633192869,4.18535777118018,1.84216586507198,1.53272916866889,1.04746356642403,1.01588668797831,1.87457622713991,0.216527595554506
"11","YAL013W","chrI",0.0829850929010498,0.248012620909484,0.0135012340267802,0.00406763049788161,0.168675223046351,0.0997689308485099,0.12929215220093,0.158189753102511,0.00081832077962948
"12","YAL014C","chrI",0.230293917849291,0.224428954172501,0.0985447281424955,0.038668472381983,0.064219315440482,0.0759852994598094,0.0686320787181828,0.162350481939969,0.00155917549241927
"13","YAL015C","chrI",0.339444719443758,0.315661203864275,0.0106600169221803,0.0275196986347344,0.0907717668963364,0.0747779089966326,0.302116117703967,0.0187911043161049,0.0706454093895067
"14","YAL016C-B","chrI",1.66573565529667,3.86333352525193,0.35622659143453,0.118495557743296,0.410595472224973,0.175637135388309,0.447542584616664,0.323217250594894,0.568138135123039
"15","YAL016W","chrI",0.271918237841829,0.686212679007495,0.160738965700726,0.172478172704797,0.162744484229207,0.00567101191798381,0.173999968621437,0.121609623078938,0.00844800787979346
"16","YAL017W","chrI",0.52214141695985,0.725051310098736,0.151585359579838,0.0500718068789773,0.286726154556543,0.101038816623215,0.287689127965821,0.470017301262513,0.135577878265246
"17","YAL019W","chrI",0.838188052310319,0.106617114371755,0.258425658297626,0.0501049442828867,0.134553391020941,0.0126019069483833,0.0969999475307138,0.138179847470073,0.00351261259668149
"18","YAL020C","chrI",0.280224385954527,0.546552181900452,0.347450917182842,0.0405447032240875,0.154978685994784,0.00538195037171431,0.233136721137586,0.136380229470454,0.0141660116022786
"19","YAL021C","chrI",0.68052452449548,0.129072868040542,0.132142006481118,0.0848219614616649,0.534702675372278,0.192660989365879,0.734377543253971,0.245350389950856,0.0221773804343437
