"","GENEID","TXCHROM","tx_id","tx_name","nexon","tx_len","X1A","X11A","X11B","X11C","X18A","X18B","X18C","X1B","X1C","X2A","X2B","X2C","X3A","X3B","X3C","X4A","X49A","X49B","X49C","X4B","X4C","X59A","X59B","X59C","X5A","X5B","X5C","X61A","X61B","X61C","X7A","X76A","X76B","X76C","X77A","X77B","X77C","X7B","X7C","X8A","X8B","X8C","X9A","X9B","X9C","GCAncA","GCAncB","GCAncC"
"1","YAL001C","chrI",106,"YAL001C",2,3483,88.3390108838455,145.967218667263,20.7803153801955,35.6392442177382,147.621509494718,85.3873130228441,119.318584271123,57.8408930511148,112.598143082026,85.1378016865696,125.561906739656,102.692475236483,121.769490707047,108.78009577669,78.1150540654686,97.6170435529924,113.75629863534,73.958028776504,106.116710950771,110.904249224589,96.9836764976378,93.6320596172129,85.5899657123367,117.231678988837,73.2482771626022,58.3016353798632,95.9587227142256,90.3234357887142,112.505661515426,82.3500036948429,97.9933535592722,93.0072182675251,72.644828778878,97.2453283088582,48.1401162371991,85.9863202014192,174.183762598127,148.033532813302,158.956917778788,117.060379743872,41.8984849737129,70.9483813541918,96.7368788329336,134.896663639432,156.589071719614,99.2839523197825,100.848179434793,86.9653215576776
"2","YAL002W","chrI",40,"YAL002W",1,3825,59.7486720900428,88.3680126501641,16.4190146213891,28.602778051672,80.0767037115234,38.6731776471177,94.1258599299131,33.6765942300257,101.202416437698,56.5191912401203,88.6897728106261,90.7037991720084,86.0327923473699,76.7437598776212,48.5614200293819,48.4895118302446,55.0693035796521,49.502124163977,58.2571568764317,62.0993824522539,81.0126175994588,44.2711584446514,53.8301671146772,76.9478849139877,66.1269168829048,43.3938882224714,87.2251523289447,41.4039350135861,55.342808929997,48.5374193962981,45.0105064653606,39.2256052652672,39.4676513896418,53.2971519983635,22.5295743990092,60.4131121882987,95.9211474486034,74.712576196608,116.082737851977,83.3105040255088,31.4759762737843,66.7971462749571,63.0243516035847,85.0835214280926,108.575697812554,50.1463213458408,59.2270080349144,51.6977964494498
"3","YAL003W","chrI",39,"YAL003W",2,621,222.388323911076,433.594023073159,222.084275894518,76.1217703419896,453.909591065054,199.339171119698,323.708252187203,391.92191326014,89.9112377442358,214.280563521981,218.283032859856,219.739812602796,123.004833366393,242.065597744833,141.705886275595,159.185963179553,144.037716175489,93.8600752887673,177.523777253378,125.24833193187,178.227758718809,300.006722301716,232.008020264259,261.435985314747,89.7106424845002,171.961338229531,189.706414951165,239.268284517456,219.146737918904,157.064907709369,171.488368728726,172.403624105656,286.723863308812,322.499708343921,443.274190312129,289.63813120478,383.402053277628,272.931390110542,320.780075998365,322.752189865247,533.423995262344,143.028917729993,368.716032074837,222.571137095295,250.88806554844,211.248583600582,193.745335873117,194.546970849245
"4","YAL005C","chrI",105,"YAL005C",1,1929,333.839285316858,501.039247212838,215.071988399966,236.589751999293,393.692759494187,660.813564192038,1214.50838041452,225.149895364751,1731.5231622326,1144.12896386988,1420.01962187479,2100.1478787418,1756.39254530707,1050.26584779561,1072.07701929625,368.456487920609,668.736968773829,384.379355944476,370.643958709896,728.749372665041,779.032761811177,282.624770721495,815.204050784672,1117.43741825017,1606.28292646474,1539.86583217466,1722.61384485376,367.71613571472,809.514972521722,721.971390008981,308.762108926588,553.600891659445,224.732256627395,229.169763015452,673.961627320787,800.383942927496,608.442388897106,752.344335390756,759.076010069103,1212.25904945147,354.886421232568,1110.94598420463,440.14886949087,2918.9164070282,2199.61269211715,377.754544276212,808.894890559036,546.38501065299
"5","YAL007C","chrI",104,"YAL007C",1,648,75.156639104667,145.105692081537,17.7017501386851,25.6785323722678,147.515306969902,67.2377227211275,108.730337808876,69.9613984915341,57.7104688776955,71.5978139484645,78.8572037628848,62.9405493384893,69.3556664461874,88.5780779895908,56.5813164451576,69.8631782291024,58.5530064825012,42.5026756024607,70.0309129905662,57.4637947480715,63.5756160970991,58.9641893384295,52.7535637723837,56.514076325296,42.7281616781846,54.313575630752,62.2405079356095,68.869911705767,51.1634494249302,45.083445731393,64.1109058879306,52.4583395716224,70.4127251013147,105.795246245627,74.1357790052866,96.3305391730185,96.6274887405666,69.3200503244431,112.619363986023,72.5166248543206,49.2984661506622,39.0970867462461,63.2601035422515,65.8603289639853,64.5634383977501,73.7784957731911,58.9024764840382,70.0117931673722
"6","YAL008W","chrI",37,"YAL008W",1,597,67.6238552308507,103.260115060568,97.7444464179568,55.286519876235,104.503284419282,57.3588317974083,69.663359482651,129.643380976637,102.352443897217,73.9570542361647,74.2358963104464,56.7884655685618,85.5915985404603,77.4609912783466,55.5709357943512,107.825361833044,88.164481156718,66.1152731593833,96.0249199957981,81.7787642152921,74.2229886958851,106.116334232841,68.5796329040988,61.8852488686092,92.3002280407538,77.6722113041174,77.7177212766136,88.1370893853565,73.6780635328706,46.4468563885924,92.4293241622627,86.0127729913087,100.64758400649,86.2982371187895,107.641299906377,79.7366879060779,122.620848284813,92.368749616761,102.945802498358,81.9422658207103,122.881377572158,62.2685261885194,113.946770355608,72.4630776799178,62.1991434705085,134.444016711694,76.9139775576697,74.0931981502235
"7","YAL009W","chrI",36,"YAL009W",1,780,20.3727563860031,37.6610193188722,16.6755617248483,9.22965042561939,39.2949341820473,14.7800461106806,22.3448511548126,30.6081118400461,34.0826319821173,21.9511922420794,21.8283032859856,19.9548358178418,24.9715694710827,22.4732505560635,17.5553638077609,16.9075271513353,16.6145830751262,14.0832278285931,17.4312752858614,17.667711627261,16.2025235198918,18.8224448051013,16.0413898001738,16.2302822504466,21.6415364344052,18.4210378887516,18.9043105807979,18.1740044779107,14.2907131463573,9.63476864420899,19.7647611416159,16.9189960059827,25.1618960016225,24.0516383081071,27.3435860227291,21.6941258987708,26.9822373529945,24.0054377535085,29.0206844629943,19.6114142687785,28.2449985768064,14.6425382794821,23.9681137644555,22.0648817848885,17.9140807948687,25.57750585887,18.8228299508221,19.6744650455396
"8","YAL010C","chrI",103,"YAL010C",1,1482,34.4111263326607,48.3685640271789,15.5638576098584,16.5402646241298,57.2431608760094,25.1950008829737,35.1967916882995,28.5368862268099,23.1050971412513,25.9516431647013,28.7111016194045,24.2928436043292,22.1479291068614,31.4386430651314,18.6920420399181,30.3059448939029,26.3957489177408,21.757322034593,32.8747735654404,31.3120829829675,24.4580950276461,34.0916729888314,25.0848578754396,24.9876287884573,23.7686959984707,23.6434970840162,24.6529898217423,27.1926833917612,25.8176562974286,20.2693717703642,30.1454130017083,26.6545076742297,23.6400071305567,41.9505319327449,25.8993825356131,29.8832992512869,40.4027219002954,40.269991593748,41.4410597064158,22.9559965471749,24.1802201838343,15.3218312924478,26.3256331511233,26.07667847305,22.3698673885162,38.4743327567227,29.7757697928953,30.4535602566597
"9","YAL011W","chrI",35,"YAL011W",1,1878,25.1663461238862,27.4457755166944,5.21645777033715,5.75710868132695,31.1173397711888,12.7123712661813,25.9959706245532,11.7369451416718,34.3962758347135,19.7971032837445,24.1881198574435,24.923826555091,33.4424905637469,26.8961775272037,13.134948460483,14.9934674738256,15.2746973432612,13.6615743007909,17.889993056542,18.4548868977825,20.2145769629126,15.8454254736822,11.842636765229,19.8499854861577,17.0172765125237,15.5724237822436,26.4218142035713,16.944184626022,15.0996214376606,12.3615899586078,18.8512637779278,15.2176444523085,19.074340517359,17.3395531988679,11.0722267345558,17.1685300986961,34.6107233061971,22.0049846073828,31.767498218751,23.2600494815745,9.58870800393429,17.7370953385479,22.0820982551213,23.3185682499389,24.4613590549222,18.3005253187408,16.1454446560931,17.6860882590223
"10","YAL012W","chrI",34,"YAL012W",1,1185,27.2207417258361,42.0917274740336,43.4419761857586,13.3418709122815,29.63050442376,55.2911569529089,122.896681351469,25.0081314783334,265.029055443765,193.86800625014,240.799615979183,200.415959735716,228.097198172258,109.855942877779,111.331317960729,20.2571315869772,43.9482520051725,33.9852743408564,20.0306759863846,38.484124336608,114.806452369519,18.3422803968079,38.2194186514208,106.372569281704,160.646789686162,134.074770612975,143.385326452017,15.4410714737136,48.60190650247,79.0778181175643,24.9135644642218,31.9476013967718,30.2348589051755,22.6932401312372,33.9869220634625,59.7665985025737,34.6107233061971,56.2736167627536,136.982407732735,68.4119102399251,42.7322856697072,95.1010218151932,48.1719794675778,311.75003430922,303.266291628868,17.0756870100061,65.5553732770012,46.9884830076983
