"","GENEID","TXCHROM","tx_id","tx_name","nexon","tx_len","X112B","X112C","X115B","X115C","X117B","X117C","X123B","X123C","X141B","X141C","X152B","X152C","X29B","X29C","X50B","X50C","X112A","X115A","X117A","X123A","X141A","X152A","X29A","X50A","AncB","AncA","AncC"
"1","YAL001C","chrI",106,"YAL001C",2,3483,43.7544230014556,19.2394209591773,57.5799713827542,16.3553929642857,57.5180243395756,27.5874872245592,57.6333298270433,27.9576061269728,39.0188782084671,31.2782211077415,66.7344219938627,58.7513694994661,64.4257940301033,24.3408480704234,68.3115848454978,39.5513432937872,40.3881323511899,48.7360701207174,44.3925669631198,39.7509635818852,83.5423675742096,58.8465233085702,21.42951490783,40.0016255206007,45.4679791756655,39.2915513479097,39.8954171639558
"2","YAL002W","chrI",40,"YAL002W",1,3825,23.1907500794464,19.7244483783162,38.1733884352334,17.5157417894546,34.9248723689442,26.5326715365614,40.8629756560594,27.5572585452023,41.0852985497254,31.2782211077415,79.077473183825,55.0321304431694,59.8352583375407,29.5441453028689,40.7081281120109,34.7594083920083,36.7092133647449,33.081921015487,33.9121720754735,28.7183868250484,60.6528463303835,38.2353044847563,16.6263477733164,23.4554986007159,52.6235955705244,41.2149140013039,37.3690582934151
"3","YAL003W","chrI",39,"YAL003W",2,621,215.32973804236,246.717280535332,282.4617485054,278.152189804777,221.880954611978,294.131297614786,282.3403289068,326.883800515608,339.50070665498,910.776164778612,799.225368545071,1320.58201678575,297.909937013893,452.775050701281,149.72784106952,430.344362746325,1038.9747076719,217.153122563196,245.224199078424,269.161185609545,228.228697643421,1076.32382124589,74.5722487166153,129.823457371404,325.729621307637,497.73877808908,898.225843430172
"4","YAL005C","chrI",105,"YAL005C",1,1929,374.766144838554,363.501104676893,596.805740424584,244.170545639116,520.90267113165,398.314631721651,663.96430386811,453.927433130778,598.532574138604,852.402828121612,962.655560856979,840.548026723048,383.230583161868,418.292182601515,541.287986585278,407.81511656632,377.329125609731,531.547043262824,383.940320030361,591.63245585327,851.15693287291,347.164616188935,576.133739878326,366.014873513496,684.777581453835,746.951624750298,624.431700835319
"5","YAL007C","chrI",104,"YAL007C",1,648,15.3095186071346,22.0418016030911,41.3722757342753,24.1463065047055,17.1923985115163,34.9711970405442,51.6495414843448,35.8978331654209,46.3121264717319,103.05650966806,87.886621750935,197.434859734257,53.2660434671493,33.7773362716382,18.681127284279,40.9817716226765,138.759226988742,40.4077543405948,30.8447394254307,36.045365281879,69.5455568825826,112.734405566774,6.34264378019106,17.4552547726258,45.7661298587847,66.7681606821123,127.686387915247
"6","YAL008W","chrI",37,"YAL008W",1,597,222.576847442187,51.8440419124049,169.860915579125,30.7768712199565,182.455454360438,50.3877340189743,146.917750624676,67.0582199465576,80.833501584519,42.0211967465706,130.242237245121,80.6885761366058,108.906501947693,46.0359517853659,157.999583996389,68.3744741209052,38.8685788567887,167.414569987464,194.10032157771,170.625958086651,98.6441896362281,111.65903762814,65.2122307108964,155.824513959795,68.9473454712961,84.353190656002,52.4219465637204
"7","YAL009W","chrI",36,"YAL009W",1,780,31.7061036242432,13.3113080585905,28.043578654934,11.4377241338079,19.4427124528143,19.3112410571915,30.5488141706186,19.8839298946012,22.3659613406789,21.9613041820313,34.4683545678201,40.4073260184096,28.6512744949599,19.2257423164938,20.2611231242429,20.2405608537826,20.8738664230902,27.1441403203996,28.8849907879033,26.1076243864077,20.4514802837557,46.778505330569,13.7321316794428,23.2736730301677,20.4978594644394,22.8055857473882,27.5794176700697
"8","YAL010C","chrI",103,"YAL010C",1,1482,17.302473692087,13.3113080585905,27.4038011951256,12.8743464887789,31.5043951781713,19.8792187353441,27.9505902849732,23.8874057123061,30.9963051188757,20.3451043071632,41.5361598135247,40.533401918623,29.759334834544,20.5486144942342,13.4764351055744,22.4577247635609,27.911798397159,18.4302543652713,21.7276479378034,17.1805012091199,27.3271065884146,43.313430861638,5.60369499026589,13.0005282941952,25.6409587482442,28.8504398009127,23.7898793642586
"9","YAL011W","chrI",35,"YAL011W",1,1878,7.51887600232052,9.48498064093894,14.0751041157844,6.68581942121138,9.9913938993629,13.550324607357,12.2037788568193,13.7452669741203,17.3822416941146,14.0704459694399,26.2737977612061,24.2696107910884,19.9450861125136,18.4320190098496,20.7258277830558,17.4512256124486,15.675393942244,11.7984473551737,6.81651700009518,10.611486040927,17.346924528846,21.6268440991903,7.69738322838721,10.0004063801502,19.0816437196236,13.3948470504238,21.5793153525355
"10","YAL012W","chrI",34,"YAL012W",1,1185,34.6955362516718,285.465582130986,91.2749175993289,250.082799176882,64.4489912787733,454.219863185537,66.9239485696541,344.298920322624,333.422999768926,341.873808825041,916.76604273994,376.273524187031,231.188875137508,832.174791277228,102.513847734128,438.497804220994,202.260567754771,76.3428946511238,28.7997843254021,68.0482596910238,76.3685635981752,225.648039123319,270.393678046786,73.6393560720149,580.350304691364,304.5095229463,414.954444486317
